song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score,average_momentum_score_normalized,fandom_intensity_score_normalized,sustainability_score_normalized,overall_performance_score,overall_rank,performance_balance
Attention,NewJeans,10,26.7,211.0,37,46.7,0.10799212598425197,0.01136220472440945,0.3225806451612903,0.08599999999999994,0.15824091948183894,Low,0.28,0.14454594234188467,0.09409061063690087,0.3387357058688385,0.3472964314377615,0.26833843124838025,71,0.2532058208008606
HAPPY,DAY6,1,161.0,161.0,42,42.0,0.057047244094488185,0.057047244094488185,0.03225806451612903,0.18,0.08401739903479807,Low,0.18,0.08833067691135382,0.47504924491135914,0.15826465727435096,0.19324169636002056,0.26554199724543776,72,0.3167845876370082
Small girl (feat. D.O.),Lee Young Ji,5,2.8,6.0,11,35.0,0.0031496062992125984,0.0014803149606299212,0.16129032258064516,0.32,0.16096022352044703,Low,0.8,0.16093271526543054,0.011687458962573867,0.3453475675582202,0.39220344988163264,0.2616490937927206,73,0.38051599091905874
Who (Shibuyakei Remix),Jimin,8,5.625,30.0,31,41.375,0.023622047244094488,0.003533464566929134,0.25806451612903225,0.1925,0.16203584582169164,Low,0.4,0.15403345662941326,0.028808273145108337,0.34796289331248337,0.37329642430300375,0.261083243108953,74,0.34448815115789544
踊り子,Vaundy,3,2.3333333333333335,3.0,21,31.333333333333332,0.002362204724409449,0.0016404199475065617,0.0967741935483871,0.39333333333333337,0.15720180340360682,Low,0.6,0.16223743755820846,0.01302254322608886,0.33620914330321955,0.39577896705876514,0.26010260159452125,75,0.3827564238326763
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,4,7.5,21.0,28,35.25,0.019015748031496065,0.006023622047244095,0.12903225806451613,0.315,0.14791998983997967,Low,0.46,0.14949396748793498,0.049573210768220625,0.3136408439744169,0.3608562127034885,0.25094593306773305,76,0.31128300193526787
Warmth,Lim Young Woong,4,2.5,3.0,18,34.0,0.0025984251968503938,0.0013681102362204725,0.12903225806451613,0.34,0.15402333629667259,Low,0.66,0.15610592614935231,0.010751805646749837,0.3284808479022922,0.3789759090551562,0.2508354066291319,77,0.3682241034084064
Alone,Jimin,6,4.666666666666667,18.0,23,38.0,0.005669291338582677,0.0018635170603674542,0.1935483870967742,0.26,0.1559784099568199,Low,0.56,0.1528475785284904,0.014882906544101555,0.33323451885997735,0.3700465928689082,0.25061326106834036,78,0.3551636863248066
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,1,14.0,14.0,31,31.0,0.011023622047244094,0.011023622047244094,0.03225806451612903,0.4,0.13621031242062484,Low,0.4,0.1448729997459995,0.09126723571897571,0.2851693062482861,0.34819271363727167,0.24905687767563794,79,0.25692547791829595
Too Sad to Dance,Jung Kook,9,11.777777777777779,68.0,39,45.22222222222222,0.032125984251968505,0.004763779527559056,0.2903225806451613,0.11555555555555558,0.15222483278299892,Low,0.24,0.1407166871278187,0.03906762967826658,0.3241078699963851,0.3368025754890248,0.2430389448233734,80,0.2977349458107582
Beautiful Things,Benson Boone,4,2.0,2.0,21,34.75,0.002362204724409449,0.001279527559055118,0.12903225806451613,0.325,0.14949676149352298,Low,0.6,0.15120213677927358,0.010013131976362444,0.3174746911430117,0.3655373534155304,0.24205815518839846,81,0.35552422143916795
Bubble Gum,NewJeans,7,3.0,8.0,15,40.42857142857143,0.0028346456692913383,0.0008830146231721033,0.22580645161290322,0.21142857142857138,0.15401605646068434,Low,0.72,0.14803352353133276,0.0067066879279617285,0.32846314731861626,0.35685394917049357,0.24187299014957694,82,0.3501472612425318
Who (Instrumental),Jimin,9,5.0,29.0,30,44.888888888888886,0.023976377952755906,0.0029615048118985126,0.2903225806451613,0.12222222222222229,0.15368415036830077,Low,0.42,0.1422976145118957,0.02403881228569344,0.3276561330438069,0.34113501699696536,0.2412885461999783,83,0.3170962047112719
